article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Sweden;2;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;YouTube Red;Stream;Germany;2;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;iTunes/Apple;Stream;Germany;1;0,004;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Italy;2;0,001;0;0,001
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Switzerland;1;0,004;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Germany;2;0,001;0,001;0,002
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Germany;3;0,003;0,002;0,006
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Denmark;1;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Austria;1;0,002;0,002;0,002
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Austria;2;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Stream;Germany;1;0,013;0,01;0,01
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Germany;2;0,003;0,002;0,004
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Full Album;3,76023E+12;Spotify;Stream;Switzerland;2;0;0;0,001
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Austria;1;0,002;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Russia;1;0,002;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Switzerland;1;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;4;0,002;0,001;0,005
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Sweden;1;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Austria;10;0,006;0,005;0,046
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Poland;2;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Poland;1;0,001;0,001;0,001
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let; ;BEHC61800009;YouTube;Stream;Poland;1;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Italy;1;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Austria;1;0,002;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Germany;1;0,003;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Germany;2;0,001;0,001;0,001
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;iTunes/Apple;Stream;Germany;2;0,001;0;0,001
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Austria;2;0,002;0,002;0,004
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Full Album;3,76023E+12;Spotify;Stream;Austria;1;0;0;0
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Deezer;Stream;Germany;1;0,006;0,005;0,005
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Amazon Unlimited;Stream;Germany;15;0,007;0,006;0,084
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Iceland;1;0;0;0
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Czech Republic;1;0,002;0,002;0,002
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Romania;1;0;0;0
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;iTunes/Apple;Stream;Italy;1;0,006;0,005;0,005
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Full Album;3,76023E+12;Spotify;Stream;Norway;2;0,003;0,002;0,005
