article no.;barcode;artist;title;track;ISRC;shop;type;country;qty;dealer (average);net (average);total amount
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;YouTube Red;Stream;Germany;3;0;0;0,001
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Italy;1;0,004;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;YouTube Red;Stream;Switzerland;2;0,001;0;0,001
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;Spotify;Stream;Norway;1;0,004;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Stream;USA;1;0;0;0
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Jesse James;BEHC61800014;iTunes/Apple;Stream;Germany;1;0,001;0,001;0,001
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Italy;1;0,004;0,003;0,003
"7"" 20671";3,76023E+12;R,W,W, (Reggae Workers of the World);Every Once in a While;Every Once in a While;BEHC61800013;Spotify;Stream;Germany;3;0,003;0,002;0,007
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Czech Republic;1;0,002;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Amazon Unlimited;Stream;Germany;1;0,012;0,009;0,009
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;Spotify;Stream;Poland;2;0,001;0,001;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Germany;1;0,001;0,001;0,001
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Tic Tac Toe;BEHC61800009;iTunes/Apple;Stream;Austria;10;0,001;0,001;0,009
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Poland;2;0,001;0,001;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Italy;1;0,004;0,003;0,003
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Germany;1;0,003;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;Spotify;Stream;Czech Republic;1;0,002;0,002;0,002
"7"" 20672";3,76023E+12;Caz Gardiner & The Badasonics;Never Gonna Let;Never Gonna Let;BEHC61800003;iTunes/Apple;Stream;Germany;1;0,001;0,001;0,001
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Switzerland;4;0,004;0,003;0,013
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Poland;1;0,001;0,001;0,001
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Norway;1;0,004;0,003;0,003
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Italy;3;0,003;0,002;0,007
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Germany;14;0,003;0,002;0,031
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Finland;1;0,004;0,004;0,004
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Spotify;Stream;Sweden;1;0,004;0,003;0,003
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;YouTube Red;Stream;Germany;1;0,006;0,005;0,005
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;Wrongful Suspicion;BEHC61800029;Spotify;Stream;Norway;1;0;0;0
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;iTunes/Apple;Stream;Finland;3;0;0;0
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;Freegal Music (Library Ideas -;Download;Germany;1;0,218;0,174;0,174
"7"" 20674";3,76023E+12;The Slackers;Wrongful Suspicion;The Noose;BEHC61800030;YouTube;Stream;Germany;2;0,006;0,005;0,01
